CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,Contract,Churn
1,Male,44,47,24.62,6491.62,One year,Yes
2,Male,27,30,54.59,4188.75,Month-to-month,No
3,Male,63,49,23.61,5571.6,Month-to-month,Yes
4,Male,28,53,26.53,7109.31,Two year,Yes
5,Female,35,64,102.86,5648.67,Month-to-month,Yes
6,Female,53,58,70.71,1080.52,One year,Yes
7,Female,60,21,83.47,2246.67,Month-to-month,Yes
8,Male,43,62,60.06,4113.28,Month-to-month,Yes
9,Male,63,13,98.21,1301.71,One year,Yes
10,Female,35,62,103.17,7177.44,Two year,No
11,Female,41,16,60.67,3115.54,One year,Yes
12,Female,27,28,85.4,3540.5,One year,No
13,Male,40,26,37.88,5535.66,Two year,No
14,Female,37,2,78.62,7723.43,Month-to-month,No
15,Male,35,30,113.49,1981.54,One year,No
16,Female,56,51,104.28,4954.77,One year,Yes
17,Male,56,62,95.07,2493.15,Two year,Yes
18,Male,59,46,30.21,7332.72,Two year,Yes
19,Male,27,51,68.7,2277.1,Month-to-month,No
20,Female,24,3,58.53,7291.68,Two year,No
21,Female,23,14,107.51,6406.8,Month-to-month,No
22,Male,69,41,97.03,6673.0,Two year,Yes
23,Female,67,68,109.91,1587.51,Month-to-month,No
24,Male,23,31,23.22,818.68,One year,Yes
25,Male,28,45,91.57,4600.0,Month-to-month,Yes
26,Male,33,12,75.02,4750.82,One year,No
27,Female,65,14,94.97,1415.14,One year,No
28,Male,57,44,110.26,1525.51,One year,No
29,Female,48,6,111.78,5190.31,Two year,Yes
30,Female,50,30,24.88,3415.76,Month-to-month,Yes
31,Female,28,27,109.43,5596.01,Two year,Yes
32,Female,53,43,40.41,4021.74,One year,No
33,Female,46,66,71.25,3887.59,Two year,No
34,Male,27,59,45.83,5278.67,One year,No
35,Female,26,44,102.32,4124.1,Month-to-month,Yes
36,Male,58,41,28.41,1430.87,Month-to-month,No
37,Female,48,66,61.39,3606.31,Month-to-month,Yes
38,Female,22,32,23.66,6652.7,Two year,No
39,Female,62,17,69.44,5937.68,Month-to-month,No
40,Male,41,6,96.76,806.45,Two year,Yes
41,Male,40,4,95.32,4464.15,Month-to-month,No
42,Male,19,55,80.53,1149.51,Month-to-month,Yes
43,Female,44,21,24.05,157.85,One year,Yes
44,Male,35,55,68.23,3902.43,Two year,No
45,Male,31,48,80.43,2102.63,Two year,Yes
46,Female,19,23,103.07,622.63,Month-to-month,Yes
47,Male,58,6,57.87,6600.05,One year,No
48,Female,40,6,109.77,4302.93,Two year,No
49,Male,51,21,47.21,6842.32,Two year,No
50,Female,24,40,115.09,2570.28,Two year,Yes
51,Male,43,17,70.6,6058.42,Two year,No
52,Female,53,69,64.55,2339.0,Month-to-month,Yes
53,Male,39,32,71.16,4482.76,One year,Yes
54,Female,43,54,25.46,7517.52,Month-to-month,No
55,Male,57,21,76.39,4455.99,Two year,Yes
56,Female,70,62,106.65,6045.88,One year,No
57,Male,56,33,117.71,1441.93,Month-to-month,Yes
58,Male,45,68,78.57,5352.9,One year,Yes
59,Male,56,62,47.02,3522.98,One year,No
60,Female,31,71,29.25,100.32,Month-to-month,No
61,Male,25,59,111.89,5043.56,Month-to-month,No
62,Female,21,7,100.63,703.05,One year,Yes
63,Female,50,3,24.99,7362.14,Month-to-month,Yes
64,Female,52,36,46.05,7274.5,One year,No
65,Female,35,6,42.33,1192.34,Two year,No
66,Male,19,69,56.6,5316.25,Month-to-month,No
67,Male,69,59,21.66,2365.45,One year,Yes
68,Male,34,35,60.28,1563.24,Two year,Yes
69,Female,31,48,99.25,3022.85,Two year,Yes
70,Male,30,56,48.06,5071.34,One year,Yes
71,Male,48,20,46.95,1808.9,Two year,Yes
72,Male,65,2,84.44,4270.47,One year,Yes
73,Male,69,14,85.62,5099.21,One year,Yes
74,Female,35,45,74.13,1888.65,One year,No
75,Male,62,53,24.56,7277.82,Month-to-month,No
76,Male,44,25,50.31,434.65,One year,Yes
77,Female,20,46,70.74,635.78,One year,Yes
78,Female,60,19,61.72,2485.41,Two year,Yes
79,Male,54,8,119.84,719.54,Two year,Yes
80,Male,69,5,114.75,3423.68,Two year,No
81,Female,55,15,60.61,7184.08,One year,Yes
82,Female,22,39,94.02,5581.69,Two year,Yes
83,Male,20,5,43.93,5337.49,Month-to-month,No
84,Female,41,28,34.02,7797.85,Two year,Yes
85,Female,34,1,70.38,2240.79,One year,No
86,Male,61,8,39.21,6794.73,One year,Yes
87,Female,53,45,92.09,5868.17,Two year,Yes
88,Female,59,10,73.06,5397.35,Month-to-month,No
89,Male,70,44,117.33,4836.69,One year,Yes
90,Male,69,34,21.58,3980.06,Month-to-month,Yes
91,Male,55,59,36.38,964.12,One year,No
92,Male,47,33,67.46,3558.59,One year,No
93,Male,27,55,97.54,6187.69,Month-to-month,No
94,Female,32,27,82.37,7543.88,One year,Yes
95,Male,64,21,41.91,7432.01,One year,Yes
96,Female,54,65,71.95,6563.36,Month-to-month,No
97,Female,28,52,28.76,4071.72,One year,No
98,Female,46,30,48.24,526.48,Two year,Yes
99,Female,30,43,71.39,7440.8,Month-to-month,Yes
100,Female,24,22,115.2,5644.95,One year,No
101,Female,37,5,118.37,5140.25,Month-to-month,No
102,Male,47,60,32.81,1987.39,Month-to-month,No
103,Female,34,30,36.03,1043.0,One year,No
104,Male,29,37,100.72,6913.56,Two year,No
105,Male,52,3,113.05,6004.86,One year,Yes
106,Female,36,63,64.57,5350.87,Two year,Yes
107,Male,51,13,56.85,6436.32,Two year,No
108,Female,55,54,111.47,390.69,One year,Yes
109,Female,63,62,26.82,1880.54,Month-to-month,No
110,Female,58,62,114.63,3891.91,Two year,Yes
111,Male,68,46,74.13,3774.45,One year,No
112,Male,46,58,52.55,4922.25,Month-to-month,Yes
113,Female,58,72,27.98,2513.92,Month-to-month,Yes
114,Female,26,14,90.21,2725.01,One year,No
115,Female,49,33,22.19,2035.69,One year,Yes
116,Female,29,49,28.85,1280.5,Two year,Yes
117,Male,66,56,39.47,1121.59,Month-to-month,No
118,Male,39,25,54.09,4572.29,Two year,Yes
119,Female,45,15,68.63,4533.06,One year,Yes
120,Male,69,9,38.92,7396.61,Month-to-month,Yes
121,Female,61,43,117.04,4744.17,One year,Yes
122,Female,41,28,43.69,4230.4,Month-to-month,Yes
123,Female,47,67,30.74,7591.95,Month-to-month,No
124,Male,40,61,51.13,6389.26,Two year,Yes
125,Male,50,31,86.12,5249.79,One year,No
126,Female,49,60,39.37,2610.99,Two year,Yes
127,Female,25,4,64.83,7543.43,One year,Yes
128,Male,66,25,54.8,2995.17,One year,No
129,Female,55,36,95.69,5488.95,Month-to-month,Yes
130,Male,51,70,109.87,2615.05,Two year,No
131,Male,44,10,103.44,2455.06,Month-to-month,Yes
132,Male,36,34,104.95,3818.57,Month-to-month,Yes
133,Male,57,13,68.76,4844.84,Month-to-month,Yes
134,Female,44,71,118.96,518.64,Two year,No
135,Male,48,32,99.15,6029.85,Month-to-month,Yes
136,Male,40,55,92.7,5655.28,One year,No
